CourseID,EnrollmentCount,CourseRevenue,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,YearsOfExperience,TeacherRating,Expertise,PriceBand,DurationBucket,RatingTier,ExperienceBucket,RevenuePerEnrollment
CR00001,164,77453.92,Programming,Paid,Beginner,472.28,11.0,4.74,21,4.97,Machine Learning,High,Short,Excellent,Expert,472.28
CR00002,149,0.0,Programming,Free,Intermediate,0.0,37.7,2.43,21,4.97,Machine Learning,Low,Medium,Low,Expert,0.0
CR00003,173,0.0,Programming,Free,Beginner,0.0,19.53,3.85,24,4.58,Cybersecurity,Low,Short,Good,Expert,0.0
CR00004,154,0.0,Programming,Free,Beginner,0.0,45.13,2.88,24,4.58,Cybersecurity,Low,Medium,Low,Expert,0.0
CR00005,166,0.0,Programming,Free,Beginner,0.0,28.68,1.28,24,4.58,Cybersecurity,Low,Medium,Low,Expert,0.0
CR00006,156,43113.72,Design,Paid,Advanced,276.37,48.84,2.72,24,4.58,Cybersecurity,High,Medium,Low,Expert,276.37
CR00007,178,0.0,Design,Free,Advanced,0.0,48.68,2.61,24,4.58,Cybersecurity,Low,Medium,Low,Expert,0.0
CR00008,158,0.0,Design,Free,Advanced,0.0,2.87,1.52,21,4.97,Machine Learning,Low,Short,Low,Expert,0.0
CR00009,155,0.0,Design,Free,Beginner,0.0,48.19,4.51,24,4.58,Cybersecurity,Low,Medium,Excellent,Expert,0.0
CR00010,180,0.0,Design,Free,Advanced,0.0,15.29,4.45,21,4.97,Machine Learning,Low,Short,Excellent,Expert,0.0
CR00011,151,49229.02,Business,Paid,Intermediate,326.02,11.31,2.69,24,4.58,Cybersecurity,High,Short,Low,Expert,326.02
CR00012,173,84410.16,Business,Paid,Advanced,487.92,36.01,3.64,24,4.58,Cybersecurity,High,Medium,Good,Expert,487.92
CR00013,170,0.0,Business,Free,Advanced,0.0,15.84,2.0,21,4.97,Machine Learning,Low,Short,Low,Expert,0.0
CR00014,171,0.0,Business,Free,Advanced,0.0,22.29,3.15,24,4.58,Cybersecurity,Low,Medium,Good,Expert,0.0
CR00015,168,47888.4,Business,Paid,Beginner,285.05,34.78,1.96,24,4.58,Cybersecurity,High,Medium,Low,Expert,285.05
CR00016,153,0.0,Marketing,Free,Intermediate,0.0,42.68,4.72,24,4.58,Cybersecurity,Low,Medium,Excellent,Expert,0.0
CR00017,158,0.0,Marketing,Free,Advanced,0.0,29.37,4.79,21,4.97,Machine Learning,Low,Medium,Excellent,Expert,0.0
CR00018,163,0.0,Marketing,Free,Advanced,0.0,15.44,2.01,24,4.58,Cybersecurity,Low,Short,Low,Expert,0.0
CR00019,177,0.0,Marketing,Free,Advanced,0.0,18.0,2.98,24,4.58,Cybersecurity,Low,Short,Low,Expert,0.0
CR00020,155,0.0,Marketing,Free,Intermediate,0.0,46.25,4.11,21,4.97,Machine Learning,Low,Medium,Excellent,Expert,0.0
CR00021,196,0.0,Data Science,Free,Intermediate,0.0,1.2,3.6,24,4.58,Cybersecurity,Low,Short,Good,Expert,0.0
CR00022,177,0.0,Data Science,Free,Beginner,0.0,32.64,3.65,24,4.58,Cybersecurity,Low,Medium,Good,Expert,0.0
CR00023,185,0.0,Data Science,Free,Intermediate,0.0,9.71,3.02,24,4.58,Cybersecurity,Low,Short,Good,Expert,0.0
CR00024,166,19534.88,Data Science,Paid,Advanced,117.68,48.09,2.57,21,4.97,Machine Learning,Medium,Medium,Low,Expert,117.68
CR00025,192,57517.44,Data Science,Paid,Beginner,299.57,48.32,3.74,24,4.58,Cybersecurity,High,Medium,Good,Expert,299.57
