Model,MAE,RMSE,R2,Target
Linear Regression,13.844787101984117,18.661893148974784,-0.9112172580083953,Enrollment Count
Ridge,11.57260712767688,15.224254062048072,-0.2719519547024909,Enrollment Count
Lasso,13.485943912229189,18.064332741358523,-0.7907811320211331,Enrollment Count
Random Forest,12.147499999999999,14.353793633275718,-0.1306600762195116,Enrollment Count
Gradient Boosting,13.85986842650385,16.242542653007142,-0.44779373567854086,Enrollment Count
Linear Regression,4153.681254392902,4877.389908345746,0.9693517064841327,Course Revenue
Ridge,2099.017417369067,3452.9435058685326,0.9846393252580332,Course Revenue
Lasso,4152.900780954219,4876.596345457814,0.969361678772672,Course Revenue
Random Forest,3153.7772374999863,5021.129810079425,0.9675186369321614,Course Revenue
Gradient Boosting,4358.021435064196,6885.272979500159,0.9389235657583028,Course Revenue
Random Forest,8442.737008333266,11147.20802670568,0.972875247649972,Category Revenue
