Feature,Importance
num__CoursePrice,21176.667320019475
cat__CourseCategory_Digital Marketing,2680.237694405116
cat__PriceBand_High,2505.796262127425
cat__CourseCategory_Data Science,1497.8384774873075
cat__CourseCategory_Artificial Intelligence,1429.0928205529976
cat__PriceBand_Low,1328.2533139736095
cat__PriceBand_Medium,1177.5429481539504
cat__CourseLevel_Beginner,781.0957762668663
cat__CourseType_Free,661.2378864261991
cat__CourseType_Paid,661.2378864261531
cat__CourseLevel_Intermediate,619.0774314646819
cat__RatingTier_Excellent,496.6357809007442
cat__CourseCategory_Cybersecurity,414.0281248401
cat__RatingTier_Low,274.9035904078584
cat__CourseCategory_Business,260.23083792922193
cat__CourseCategory_Project Management,259.91892455312205
cat__CourseCategory_Machine Learning,258.1624617775692
cat__CourseCategory_Finance,231.99405453473986
cat__CourseCategory_Marketing,230.73367961260507
cat__RatingTier_Good,221.7321904929269
num__CourseDuration,206.08571931743586
cat__CourseCategory_Web Development,167.34281224299878
cat__CourseLevel_Advanced,162.0183448021399
num__CourseRating,153.69459101874196
cat__CourseCategory_Design,151.1000117747082
num__YearsOfExperience,99.98094140999419
num__TeacherRating,99.98094140998336
cat__CourseCategory_Programming,83.16798113389129
cat__Expertise_Machine Learning,48.893573940825895
cat__Expertise_Cybersecurity,48.893573940812985
cat__DurationBucket_Short,39.44163890422046
cat__DurationBucket_Medium,39.441638904181154
cat__ExperienceBucket_Expert,0.0
